seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s
62,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7577.6116706800285,541.2579764771449,28853.05835340013,292,17,3,268,True,3.0035925999982283,6,6,6,0,641.0798902059055
63,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7857.297249594648,604.4074807380498,29531.486247973236,311,30,17,280,True,3.014575299981516,6,6,6,0,932.2041154241551
64,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7409.952862599622,569.9963740461247,27864.76431299813,278,58,45,247,True,3.6581998000037856,4,4,4,0,1473.978990108918
65,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7288.783199964029,560.6756307664638,28068.91599982014,269,21,8,241,True,3.0344610000029206,6,6,6,0,154.05479082097105
66,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7368.010557683417,736.8010557683417,27265.052788417077,307,26,16,282,True,2.2225175999919884,5,5,5,0,1240.3305491877168
67,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7718.726152931391,771.8726152931391,29058.63076465696,310,17,7,286,True,1.9565704999840818,3,3,3,0,639.7403805134313
68,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7970.155134187685,531.3436756125124,31920.77567093845,250,29,14,219,True,3.538248400000157,4,4,4,0,641.7218091686827
69,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7925.972530929317,528.3981687286212,32069.862654646593,239,24,9,215,True,3.44207460002508,4,4,4,0,1257.0349231472578
70,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7326.811993020986,732.6811993020985,27094.05996510494,313,12,2,287,True,2.1630289000167977,3,3,3,0,15.249417884326661
71,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7983.882170409466,665.3235142007888,29914.41085204731,312,44,32,285,True,2.79020639997907,4,4,4,0,1802.0623036130785
72,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6784.659763485297,678.4659763485297,24333.298817426483,314,13,3,289,True,1.7734693000093102,4,4,4,0,83.84249945642648
73,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7432.495230243006,619.3746025202505,27777.47615121503,279,67,55,257,True,2.609761500003515,2,2,2,0,556.1536642747717
