seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
13,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3748.8957344799696,312.4079778733308,15364.478672399846,105,12,0,91,True,3.117020700000012
14,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3045.0799870954515,304.5079987095452,11535.399935477259,117,10,0,103,True,2.286937500000022
15,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,2955.404509486958,268.6731372260871,11437.022547434792,104,11,0,93,True,2.2029036999997516
16,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3070.5950768314824,255.8829230692902,12317.975384157411,93,12,0,82,True,2.3798547999999755
17,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3656.4218522842475,261.17298944887483,14687.109261421228,111,14,0,94,True,3.610077600000295
18,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3011.8861100133536,273.80782818303214,11204.430550066778,121,11,0,111,True,2.3185632999998234
19,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,3503.763656236682,233.58424374911212,14503.81828118341,90,15,0,78,True,3.2861480999999912
20,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,3497.408547123206,233.16056980821375,13967.04273561603,107,15,0,94,True,3.5367169999999533
21,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3453.341870721231,313.94017006556646,13781.709353606147,109,11,0,97,True,2.647601300000133
22,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3256.446174332964,296.0405613029967,12227.230871664819,128,11,0,116,True,2.835331600000245
23,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,3244.59516548114,202.78719784257126,13722.9758274057,73,16,0,55,True,4.235667399999784
24,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,3581.654844307475,238.7769896204983,14858.274221537376,92,15,0,75,True,3.7695050000002084
25,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3305.459357383696,254.26610441413047,12972.296786918481,109,13,0,101,True,2.3360889999999017
26,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,4281.853320831017,285.4568880554012,18004.26660415509,104,15,0,86,True,4.122324599999956
27,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,4025.0765894671154,268.33843929780767,16380.382947335574,115,15,0,99,True,3.630805799999962
28,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3032.0364276449827,303.2036427644983,11650.182138224909,110,10,0,102,True,2.121801599999799
29,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3195.1443211241226,228.22459436600874,12590.721605620607,103,14,0,92,True,3.0150454999998146
30,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3715.640265452251,265.4028761037322,15208.201327261255,103,14,0,89,True,3.6134414000002835
31,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3247.03521940157,324.703521940157,12390.17609700785,122,10,0,109,True,2.8696345999996993
32,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3200.776472504251,320.0776472504251,12493.882362521255,110,10,0,102,True,1.7207311000001937
33,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,4026.370212713715,287.5978723366939,16651.85106356857,107,14,0,91,True,3.5042905999998766
34,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3402.630224159696,243.04501601140686,13458.151120798479,109,14,0,96,True,3.46539249999978
35,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3531.818445104053,252.27274607886093,14134.092225520266,108,14,0,95,True,3.2047176999999465
36,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3253.451078813513,271.12092323445944,12647.25539406756,113,12,0,99,True,3.146095999999943
37,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,3485.544615812817,232.3696410541878,14197.723079064086,98,15,0,81,True,4.2134548999997605
38,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,3284.144807017555,218.94298713450368,13065.724035087776,102,15,0,86,True,3.825981700000284
39,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3148.8847179941,286.26224709037274,12054.4235899705,116,11,0,103,True,3.1001805000000786
40,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3951.409152797422,303.9545502151863,16122.045763987104,113,13,0,97,True,3.7331328000000212
41,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3275.838236367325,251.98755664364037,13074.191181836626,101,13,0,91,True,2.771337599999697
42,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,3105.4574652712727,207.0304976847515,12582.287326356365,88,15,0,74,True,3.7775203999999576
43,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3301.24917672647,330.12491767264703,12926.245883632355,113,10,0,101,True,2.3970659999999953
44,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3537.0163360502816,272.0781796961755,14265.081680251402,105,13,0,94,True,2.905236099999911
45,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3560.330700909337,296.6942250757781,14276.653504546683,109,12,0,100,True,2.4376766999998836
46,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3099.4802771879636,309.94802771879637,12157.401385939822,105,10,0,93,True,2.5049871999999596
47,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3200.0894144981444,266.67411787484536,12425.447072490724,111,12,0,100,True,2.70479639999985
48,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3785.3939692570184,270.38528351835845,15601.969846285094,101,14,0,90,True,3.1132754999998724
49,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3335.9995634702627,333.59995634702625,13019.997817351315,115,10,0,107,True,2.0573460999999043
50,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3567.792401078987,274.44556931376826,14518.962005394935,102,13,0,89,True,2.9326544999998987
51,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3277.5526343500196,297.95933039545633,12707.763171750094,116,11,0,101,True,3.036439700000301
52,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,2904.108265093774,242.00902209114784,11190.541325468874,102,12,0,96,True,2.0966167999999925
53,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3876.904814060748,276.9217724329106,16034.52407030374,102,14,0,90,True,3.2470625999999356
54,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3300.568639851898,300.05169453199073,12867.843199259494,114,11,0,102,True,2.4838058000000274
55,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,2994.0011616048164,299.4001161604816,11585.005808024083,106,10,0,97,True,2.15526970000019
56,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,3668.1985162465367,229.26240726540854,15280.992581232682,91,16,0,77,True,3.4937812999996822
57,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3427.0540871046787,342.70540871046785,13570.270435523398,112,10,0,103,True,2.2835469999999987
58,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3583.246695051333,255.94619250366665,14441.233475256664,106,14,0,95,True,5.238503100000344
59,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3237.7660681298066,294.34236982998243,12393.830340649036,119,11,0,109,True,4.612265499999921
